compoundnames,mols,smiles,prop_preds
cpd-00156,<rdkit.Chem.rdchem.Mol object at 0x7fb521092bc0>,N#Cc1cc(C#N)c(N2c3ccccc3Sc3ccccc32)c(C#N)c1,0.014599999999999724
cpd-00736,<rdkit.Chem.rdchem.Mol object at 0x7fb521097580>,N#Cc1ccc(C#N)c(N2c3ccccc3Oc3ccccc32)c1,0.025100000000000122
cpd-00309,<rdkit.Chem.rdchem.Mol object at 0x7fb521095cb0>,C[Si]1(C)c2ccccc2N(c2ncc(C#N)cc2C#N)c2ccccc21,0.044099999999999806
cpd-00054,<rdkit.Chem.rdchem.Mol object at 0x7fb521090b20>,C[Si]1(C)c2ccccc2N(c2c(C#N)cc(C#N)cc2C#N)c2ccccc21,0.11906999999999983
cpd-00070,<rdkit.Chem.rdchem.Mol object at 0x7fb521091080>,N#Cc1ccc(C#N)c(N2c3ccccc3Sc3ccccc32)c1,0.12948666666666664
cpd-00837,<rdkit.Chem.rdchem.Mol object at 0x7fb5210195d0>,N#Cc1cnc(N2c3ccccc3[Si](c3ccccc3)(c3ccccc3)c3ccccc32)c(C#N)c1,0.14625333333333318
cpd-00248,<rdkit.Chem.rdchem.Mol object at 0x7fb521094940>,N#Cc1ccc(C#N)c(N2c3ccccc3[Si](c3ccccc3)(c3ccccc3)c3ccccc32)c1,0.14803000000000005
cpd-00239,<rdkit.Chem.rdchem.Mol object at 0x7fb521094670>,CC1(C)c2ccccc2N(c2cc(C#N)cc(C#N)c2)c2cc3c4ccccc4n(-c4ccccc4)c3cc21,0.14849999999999988
cpd-00583,<rdkit.Chem.rdchem.Mol object at 0x7fb52108d490>,N#Cc1ccc(C#N)c(N2c3ccccc3Nc3ccccc32)c1,0.1640433333333334
cpd-00362,<rdkit.Chem.rdchem.Mol object at 0x7fb521096da0>,CC1(C)c2ccccc2N(c2ccc3c(c2)C(=O)c2ccccc2S3(=O)=O)c2ccccc21,0.1674000000000003
cpd-00369,<rdkit.Chem.rdchem.Mol object at 0x7fb521088030>,N#Cc1cc(C#N)c(N2c3ccccc3[Si](c3ccccc3)(c3ccccc3)c3ccccc32)c(C#N)c1,0.18017333333333324
cpd-00533,<rdkit.Chem.rdchem.Mol object at 0x7fb52108a490>,N#Cc1cnc(N2c3ccccc3Sc3ccccc32)c(C#N)c1,0.1819333333333331
cpd-00486,<rdkit.Chem.rdchem.Mol object at 0x7fb521087580>,CC1(C)c2ccccc2N(c2cc(C#N)ccc2C#N)c2ccc3c(c21)c1ccccc1n3-c1ccccc1,0.19358000000000003
cpd-00322,<rdkit.Chem.rdchem.Mol object at 0x7fb521096120>,CC1(C)c2ccccc2N(c2cc(C#N)ccc2C#N)c2cc3c4ccccc4n(-c4ccccc4)c3cc21,0.19629000000000005
cpd-00650,<rdkit.Chem.rdchem.Mol object at 0x7fb52108e9e0>,C[Si]1(C)c2ccccc2N(c2cc(C#N)cc(C#N)c2)c2ccccc21,0.20976666666666663
cpd-00687,<rdkit.Chem.rdchem.Mol object at 0x7fb52108f5d0>,N#Cc1cc(C#N)cc(N2c3ccccc3[Si](c3ccccc3)(c3ccccc3)c3ccccc32)c1,0.23099999999999998
cpd-00077,<rdkit.Chem.rdchem.Mol object at 0x7fb5210912b0>,CC1(C)c2ccccc2N(c2c(C#N)cc(C#N)cc2C#N)c2cc3c4ccccc4n(-c4ccccc4)c3cc21,0.2330899999999999
cpd-00422,<rdkit.Chem.rdchem.Mol object at 0x7fb52108b120>,CC1(C)c2ccccc2N(c2ccc3c(c2)C(=O)c2ccccc2S3(=O)=O)c2cc3c4ccccc4n(-c4ccccc4)c3cc21,0.23454333333333346
cpd-00277,<rdkit.Chem.rdchem.Mol object at 0x7fb5210952b0>,N#Cc1cc(C#N)c(N2c3ccccc3Oc3ccccc32)c(C#N)c1,0.24051999999999996
cpd-00321,<rdkit.Chem.rdchem.Mol object at 0x7fb5210960d0>,CC1(C)c2cc(N(c3ccccc3)c3ccccc3)ccc2N(c2cc(C#N)ccc2C#N)c2ccc(N(c3ccccc3)c3ccccc3)cc21,0.2515366666666667
cpd-00124,<rdkit.Chem.rdchem.Mol object at 0x7fb5210921c0>,C[Si]1(C)c2ccccc2N(c2ccc3c(c2)C(=O)c2ccccc2S3(=O)=O)c2ccccc21,0.2656033333333335
cpd-00014,<rdkit.Chem.rdchem.Mol object at 0x7fb521075e90>,Cc1cc(C)c2c(c1)c1cc(C)cc(C)c1n2C1=NC2=NC=NC3=NC=NC(=N1)N32,0.26760000000000006
cpd-00205,<rdkit.Chem.rdchem.Mol object at 0x7fb521093b70>,O=C1c2ccccc2S(=O)(=O)c2ccc(N3c4ccccc4Oc4ccccc43)cc21,0.2730500000000001
cpd-00901,<rdkit.Chem.rdchem.Mol object at 0x7fb52101aa30>,CC1(C)c2ccccc2N(c2cc(C#N)cc(C#N)c2)c2ccccc21,0.27360333333333337
cpd-00658,<rdkit.Chem.rdchem.Mol object at 0x7fb52108ec60>,O=S1(=O)c2ccccc2S(=O)(=O)c2cc(N3c4ccccc4Oc4ccccc43)ccc21,0.27539999999999965
cpd-00337,<rdkit.Chem.rdchem.Mol object at 0x7fb5210965d0>,COc1ccc2c(c1)c1cc(OC)ccc1n2C1=NC2=NC=NC3=NC=NC(=N1)N32,0.27810000000000024
cpd-00093,<rdkit.Chem.rdchem.Mol object at 0x7fb5210917b0>,C[Si]1(C)c2ccccc2N(c2ccc(C#N)cc2)c2ccccc21,0.28371666666666673
cpd-00173,<rdkit.Chem.rdchem.Mol object at 0x7fb521093170>,CC1(C)c2ccccc2N(c2c(C#N)cc(C#N)cc2C#N)c2ccc3c(c21)c1ccccc1n3-c1ccccc1,0.28490666666666653
cpd-00806,<rdkit.Chem.rdchem.Mol object at 0x7fb521098bc0>,O=C1c2ccccc2S(=O)(=O)c2ccc(N3c4ccccc4[Si](c4ccccc4)(c4ccccc4)c4ccccc43)cc21,0.28616000000000014
